year,city_state,name,total_est_pop_over16,total_est_median_earnings,total_est_mean_earnings,male_est_pop_over16,male_est_median_earnings,male_est_median_fulltime_earnings,male_est_mean_fulltime_earnings,female_est_pop_over16,female_est_median_earnings,female_est_median_fulltime_earnings,female_est_mean_fulltime_earnings
2018,"Detroit city, Michigan",Detroit,279667,25389,43376,132563,26831,35558,46715,147104,23611,32770,40136
2018,"Kansas City city, Missouri",Kansas City,276933,36195,58762,140317,41117,50422,65373,136616,31618,41530,51206
2018,"Las Vegas city, Nevada",Las Vegas,325770,32474,60768,172870,35649,45565,65864,152900,30563,38130,54269
2018,"Albuquerque city, New Mexico",Albuquerque,295745,30864,58142,153632,35304,46588,65187,142113,26153,38560,49414
2018,"Charlotte city, North Carolina",Charlotte,510716,36340,69220,263290,41695,51896,80952,247426,31516,41308,54740
2018,"Columbus city, Ohio",Columbus,527972,32262,53918,267645,36221,49523,59254,260327,30052,40200,47944
2018,"Oklahoma City city, Oklahoma",Oklahoma City,350546,31862,56934,180603,36936,46308,65907,169943,27246,37829,45920
2018,"Portland city, Oregon",Portland,403854,40331,73906,206524,42637,59776,79456,197330,36508,53119,67124
2018,"Memphis city, Tennessee",Memphis,321412,27396,49634,155546,30582,38040,54165,165866,25627,34403,45043
2018,"Nashville-Davidson metropolitan government (balance), Tennessee",Nashville,407180,35237,60253,207857,39283,46628,66633,199323,31519,40815,52644
2018,"Austin city, Texas",Austin,608253,41653,75341,327372,45605,57144,83566,280881,38215,51431,64320
2018,"El Paso city, Texas",El Paso,334142,24989,48620,177270,30459,39894,53660,156872,20559,32220,41681
2018,"Fort Worth city, Texas",Fort Worth,469433,32911,59314,259968,38938,48302,65888,209465,27152,39775,49405
2018,"Seattle city, Washington",Seattle,497135,52385,102149,263694,60573,81260,116632,233441,46258,67051,82950
2018,"Milwaukee city, Wisconsin",Milwaukee,306138,29274,48240,150519,31953,42217,52468,155619,25057,37203,43538
2019,"Mesa city, Arizona",Mesa,272389,36190,59117,146253,40796,50178,66800,126136,31476,41679,48638
2019,"Tucson city, Arizona",Tucson,296603,26562,47675,156462,29606,39878,50158,140141,23422,35719,44270
2019,"Fresno city, California",Fresno,245698,30840,54005,130518,35205,45641,58090,115180,25633,38733,48240
2019,"Sacramento city, California",Sacramento,275398,37448,66190,139572,40567,50753,70718,135826,35086,50267,61030
2019,"San Francisco city, California",San Francisco,574061,67926,121196,303836,79284,101077,135556,270225,58478,80163,103091
2019,"Denver city, Colorado",Denver,458499,47146,78694,241754,52385,63427,87591,216745,40928,52117,67413
2019,"Washington city, District of Columbia",Washington,430142,61960,103354,204309,69852,87603,113495,225833,56071,72750,93551
2019,"Jacksonville city, Florida",Jacksonville,493540,32853,56375,253373,40027,46232,63220,240167,30325,37176,47915
2019,"Indianapolis city (balance), Indiana",Indianapolis,459472,33054,55999,229476,36555,46434,61715,229996,30388,39044,49669
